id,university,country,city,continent,latitude,longitude,location_source
181,Universitat Ramon Llull,Spain,Sant Cugat del Vallès,Europe,41.411307,2.131272,CBS MoveON snapshot 2026-09-21
182,Lund University,Sweden,Lund,Europe,55.707026,13.195767,CBS MoveON snapshot 2026-09-21
183,Stockholm School of Economics,Sweden,Stockholm,Europe,59.341598,18.056823,CBS MoveON snapshot 2026-09-21
184,Stockholm University,Sweden,Stockholm,Europe,59.362945,18.059721,CBS MoveON snapshot 2026-09-21
185,University of Gothenburg,Sweden,Gothenburg,Europe,57.696218,11.967657,CBS MoveON snapshot 2026-09-21
186,Uppsala universitet,Sweden,Uppsala,Europe,59.857589,17.629406,CBS MoveON snapshot 2026-09-21
187,Université de Genève,Switzerland,Geneva,Europe,46.19864,6.143989,CBS MoveON snapshot 2026-09-21
188,Université de Lausanne,Switzerland,Lausanne,Europe,46.524334,6.634109,CBS MoveON snapshot 2026-09-21
189,Universität Bern,Switzerland,Bern,Europe,46.950883,7.43559,CBS MoveON snapshot 2026-09-21
190,Universität St. Gallen,Switzerland,St. Gallen,Europe,47.431223,9.376424,CBS MoveON snapshot 2026-09-21
191,Universität Zürich,Switzerland,Zurich,Europe,47.375243,8.548284,CBS MoveON snapshot 2026-09-21
192,National Chengchi University (NCCU),Taiwan,Taipei,Asia,25.091075,121.559834,CBS MoveON snapshot 2026-09-21
193,National Taiwan University (NTU),Taiwan,Taipei,Asia,25.091075,121.559834,CBS MoveON snapshot 2026-09-21
194,Soochow University,Taiwan,Taipei,Asia,25.091075,121.559834,CBS MoveON snapshot 2026-09-21
195,Chulalongkorn University,Thailand,Bangkok,Asia,13.738374,100.531672,CBS MoveON snapshot 2026-09-21
196,Chulalongkorn University,Thailand,Bangkok,Asia,13.738374,100.531672,CBS MoveON snapshot 2026-09-21
197,Thammasat University,Thailand,Bangkok,Asia,13.753846,100.501757,CBS MoveON snapshot 2026-09-21
198,Istanbul Bilgi University,Turkey,Istanbul,Asia,41.012379,28.975926,CBS MoveON snapshot 2026-09-21
199,Koc University,Turkey,Istanbul,Asia,41.012379,28.975926,CBS MoveON snapshot 2026-09-21
200,Sabanci University,Turkey,Istanbul,Asia,40.89243,29.376869,CBS MoveON snapshot 2026-09-21
201,Aston University,United Kingdom,Birmingham,Europe,52.483573,-1.887306,CBS MoveON snapshot 2026-09-21
202,Cardiff University,United Kingdom,Cardiff,Europe,51.506579,-3.190305,CBS MoveON snapshot 2026-09-21
203,"City St. George's, University of London",United Kingdom,London,Europe,51.527221,-0.101932,CBS MoveON snapshot 2026-09-21
204,"European Business School (EBS) London, Regent's University London",United Kingdom,London,Europe,51.500152,-0.126236,CBS MoveON snapshot 2026-09-21
205,King's College London,United Kingdom,London,Europe,51.512342,-0.115994,CBS MoveON snapshot 2026-09-21
206,London Metropolitan University,United Kingdom,London,Europe,51.512939,-0.076631,CBS MoveON snapshot 2026-09-21
207,Oxford Brookes University,United Kingdom,Oxford,Europe,51.754405,-1.222053,CBS MoveON snapshot 2026-09-21
208,Regent's University London,United Kingdom,London,Europe,,,
209,The University of Manchester,United Kingdom,Manchester,Europe,53.464983,-2.23249,CBS MoveON snapshot 2026-09-21
210,University of Aberdeen,United Kingdom,Aberdeen,Europe,57.165477,-2.102337,CBS MoveON snapshot 2026-09-21
