university_id,university,city,country,sep_c,oct_c,nov_c,dec_c,sep_dec_avg_c,period,source_url,refreshed_at
187,Université de Genève,Geneva,Switzerland,,,,,,1991-2020,https://power.larc.nasa.gov/,
188,Université de Lausanne,Lausanne,Switzerland,,,,,,1991-2020,https://power.larc.nasa.gov/,
189,Universität Bern,Bern,Switzerland,,,,,,1991-2020,https://power.larc.nasa.gov/,
190,Universität St. Gallen,St. Gallen,Switzerland,,,,,,1991-2020,https://power.larc.nasa.gov/,
191,Universität Zürich,Zurich,Switzerland,,,,,,1991-2020,https://power.larc.nasa.gov/,
192,National Chengchi University (NCCU),Taipei,Taiwan,,,,,,1991-2020,https://power.larc.nasa.gov/,
193,National Taiwan University (NTU),Taipei,Taiwan,,,,,,1991-2020,https://power.larc.nasa.gov/,
194,Soochow University,Taipei,Taiwan,,,,,,1991-2020,https://power.larc.nasa.gov/,
195,Chulalongkorn University,Bangkok,Thailand,,,,,,1991-2020,https://power.larc.nasa.gov/,
196,Chulalongkorn University,Bangkok,Thailand,,,,,,1991-2020,https://power.larc.nasa.gov/,
197,Thammasat University,Bangkok,Thailand,,,,,,1991-2020,https://power.larc.nasa.gov/,
198,Istanbul Bilgi University,Istanbul,Turkey,,,,,,1991-2020,https://power.larc.nasa.gov/,
199,Koc University,Istanbul,Turkey,,,,,,1991-2020,https://power.larc.nasa.gov/,
200,Sabanci University,Istanbul,Turkey,,,,,,1991-2020,https://power.larc.nasa.gov/,
201,Aston University,Birmingham,United Kingdom,,,,,,1991-2020,https://power.larc.nasa.gov/,
202,Cardiff University,Cardiff,United Kingdom,,,,,,1991-2020,https://power.larc.nasa.gov/,
203,"City St. George's, University of London",London,United Kingdom,,,,,,1991-2020,https://power.larc.nasa.gov/,
204,"European Business School (EBS) London, Regent's University London",London,United Kingdom,,,,,,1991-2020,https://power.larc.nasa.gov/,
205,King's College London,London,United Kingdom,,,,,,1991-2020,https://power.larc.nasa.gov/,
206,London Metropolitan University,London,United Kingdom,,,,,,1991-2020,https://power.larc.nasa.gov/,
207,Oxford Brookes University,Oxford,United Kingdom,,,,,,1991-2020,https://power.larc.nasa.gov/,
208,Regent's University London,London,United Kingdom,,,,,,1991-2020,https://power.larc.nasa.gov/,
209,The University of Manchester,Manchester,United Kingdom,,,,,,1991-2020,https://power.larc.nasa.gov/,
210,University of Aberdeen,Aberdeen,United Kingdom,,,,,,1991-2020,https://power.larc.nasa.gov/,
211,University of Bath,Bath,United Kingdom,,,,,,1991-2020,https://power.larc.nasa.gov/,
212,University of Bristol,Bristol,United Kingdom,,,,,,1991-2020,https://power.larc.nasa.gov/,
213,University of Edinburgh,Edinburgh,United Kingdom,,,,,,1991-2020,https://power.larc.nasa.gov/,
214,University of Essex,Colchester,United Kingdom,,,,,,1991-2020,https://power.larc.nasa.gov/,
215,University of Exeter,Exeter,United Kingdom,,,,,,1991-2020,https://power.larc.nasa.gov/,
216,University of Glasgow,Glasgow,United Kingdom,,,,,,1991-2020,https://power.larc.nasa.gov/,
217,University of Leeds,Leeds,United Kingdom,,,,,,1991-2020,https://power.larc.nasa.gov/,
218,University of Leicester,Leicester,United Kingdom,,,,,,1991-2020,https://power.larc.nasa.gov/,
219,University of Liverpool,Liverpool,United Kingdom,,,,,,1991-2020,https://power.larc.nasa.gov/,
220,University of Sheffield,Sheffield,United Kingdom,,,,,,1991-2020,https://power.larc.nasa.gov/,
221,University of Sheffield,Sheffield,United Kingdom,,,,,,1991-2020,https://power.larc.nasa.gov/,
222,University of Strathclyde Glasgow,Glasgow,United Kingdom,,,,,,1991-2020,https://power.larc.nasa.gov/,
223,University of Warwick,Coventry,United Kingdom,,,,,,1991-2020,https://power.larc.nasa.gov/,
224,University of Westminster,London,United Kingdom,,,,,,1991-2020,https://power.larc.nasa.gov/,
225,University of Westminster,London,United Kingdom,,,,,,1991-2020,https://power.larc.nasa.gov/,
226,Arizona State University,Tempe,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
227,Babson College,Wellesley,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
228,Bentley University,Waltham,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
229,Boston College,Chestnut Hill / Boston,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
230,Boston University,Boston,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
231,City University of New York,New York City,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
232,Cornell University,Ithaca,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
233,Cornell University,Ithaca,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
234,Emory University,Atlanta,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
235,George Washington University,"Washington, D.C.",United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
236,Indiana University,Bloomington,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
237,New York University,New York City,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
238,North Carolina State University,Raleigh,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
239,Ohio State University,Columbus,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
240,Purdue University,West Lafayette,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
241,"State University of New York, Stony Brook",Stony Brook,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
242,Texas A&M University,College Station,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
243,Tulane University,New Orleans,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
244,University of Hawaii at Manoa,Honolulu,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
245,University of Maryland,College Park,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
246,University of Michigan,Ann Arbor,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
247,"University of Minnesota, Twin Cities",Minneapolis,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
248,University of North Carolina at Chapel Hill,Chapel Hill,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
249,University of Pennsylvania,Philadelphia,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
250,University of Richmond,Richmond,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
251,University of South Carolina,Columbia,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
252,University of Southern California,Los Angeles,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
253,University of Texas at Austin,Austin,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
254,University of Washington,Seattle,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
255,University of Wisconsin - La Crosse,La Crosse,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
256,University of Wisconsin - Madison,Madison,United States,,,,,,1991-2020,https://power.larc.nasa.gov/,
257,Universidad Católica del Uruguay,Montevideo,Uruguay,,,,,,1991-2020,https://power.larc.nasa.gov/,
258,Universidad de Montevideo,Montevideo,Uruguay,,,,,,1991-2020,https://power.larc.nasa.gov/,
